CMDLINE C:\Users\Isaac\AppData\Local\Programs\Python\Python311\python.exe copy_of_4_double_dqn.py
MEM 2085.015625 1708462888.1616
MEM 2087.808594 1708462888.2622
MEM 2090.433594 1708462888.3628
MEM 2093.058594 1708462888.4632
MEM 2095.687500 1708462888.5635
MEM 2098.320312 1708462888.6638
MEM 2100.945312 1708462888.7644
MEM 2103.960938 1708462888.8648
MEM 2106.437500 1708462888.9651
MEM 2109.113281 1708462889.0653
MEM 2111.738281 1708462889.1659
MEM 2114.363281 1708462889.2663
MEM 2116.992188 1708462889.3668
MEM 2119.863281 1708462889.4674
MEM 2122.113281 1708462889.5679
MEM 2124.738281 1708462889.6681
MEM 2127.738281 1708462889.7684
MEM 2130.363281 1708462889.8686
MEM 2132.996094 1708462889.9689
MEM 2136.164062 1708462890.0695
MEM 2138.781250 1708462890.1700
MEM 2141.406250 1708462890.2705
MEM 2144.027344 1708462890.3709
MEM 2147.027344 1708462890.4715
MEM 2149.660156 1708462890.5719
MEM 2152.285156 1708462890.6722
MEM 2154.914062 1708462890.7726
MEM 2157.539062 1708462890.8732
MEM 2160.167969 1708462890.9737
MEM 2162.792969 1708462891.0741
MEM 2165.582031 1708462891.1748
MEM 2167.335938 1708462891.2752
MEM 2170.335938 1708462891.3756
MEM 2172.968750 1708462891.4760
MEM 2175.972656 1708462891.5765
MEM 2178.605469 1708462891.6770
MEM 2181.609375 1708462891.7775
MEM 2184.234375 1708462891.8779
MEM 2186.859375 1708462891.9783
MEM 2189.492188 1708462892.0786
MEM 2192.593750 1708462892.1793
MEM 2194.914062 1708462892.2795
MEM 2197.914062 1708462892.3798
MEM 2200.539062 1708462892.4800
MEM 2203.164062 1708462892.5806
MEM 2206.167969 1708462892.6811
MEM 2208.792969 1708462892.7816
MEM 2211.800781 1708462892.8821
MEM 2214.800781 1708462892.9826
MEM 2217.800781 1708462893.0831
MEM 2220.800781 1708462893.1836
MEM 2223.804688 1708462893.2842
MEM 2226.968750 1708462893.3846
MEM 2229.968750 1708462893.4851
MEM 2232.968750 1708462893.5857
MEM 2235.968750 1708462893.6861
MEM 2238.972656 1708462893.7866
MEM 2241.980469 1708462893.8869
MEM 2244.980469 1708462893.9873
MEM 2247.980469 1708462894.0877
MEM 2250.605469 1708462894.1882
MEM 2253.609375 1708462894.2888
MEM 2256.781250 1708462894.3893
MEM 2259.781250 1708462894.4898
MEM 2262.781250 1708462894.5903
MEM 2265.781250 1708462894.6908
MEM 2268.792969 1708462894.7913
MEM 2271.425781 1708462894.8919
MEM 2274.425781 1708462894.9923
MEM 2277.335938 1708462895.0927
MEM 2280.429688 1708462895.1933
MEM 2283.429688 1708462895.2938
MEM 2286.433594 1708462895.3944
MEM 2289.441406 1708462895.4948
MEM 2292.441406 1708462895.5953
MEM 2295.441406 1708462895.6959
MEM 2298.441406 1708462895.7965
MEM 2301.066406 1708462895.8969
MEM 2304.234375 1708462895.9975
MEM 2307.234375 1708462896.0980
MEM 2310.234375 1708462896.1986
MEM 2313.234375 1708462896.2989
MEM 2316.234375 1708462896.3994
MEM 2319.246094 1708462896.5000
MEM 2321.871094 1708462896.6006
MEM 2324.875000 1708462896.7011
MEM 2327.875000 1708462896.8016
MEM 2330.875000 1708462896.9021
MEM 2334.042969 1708462897.0026
MEM 2337.042969 1708462897.1031
MEM 2340.042969 1708462897.2036
MEM 2343.046875 1708462897.3042
MEM 2346.050781 1708462897.4046
MEM 2348.687500 1708462897.5051
MEM 2351.695312 1708462897.6052
MEM 2354.695312 1708462897.7056
MEM 2357.320312 1708462897.8058
MEM 2359.945312 1708462897.9062
MEM 2362.949219 1708462898.0063
MEM 2365.957031 1708462898.1067
MEM 2368.523438 1708462898.2072
MEM 2371.523438 1708462898.3074
MEM 2374.148438 1708462898.4078
MEM 2376.773438 1708462898.5082
MEM 2379.781250 1708462898.6089
MEM 2382.410156 1708462898.7091
MEM 2385.035156 1708462898.8093
MEM 2388.035156 1708462898.9099
MEM 2390.664062 1708462899.0103
MEM 2393.289062 1708462899.1108
MEM 2396.453125 1708462899.2111
MEM 2399.082031 1708462899.3114
MEM 2402.082031 1708462899.4116
MEM 2404.707031 1708462899.5119
MEM 2407.707031 1708462899.6122
MEM 2410.343750 1708462899.7128
MEM 2413.347656 1708462899.8132
MEM 2415.972656 1708462899.9138
MEM 2418.601562 1708462900.0144
MEM 2421.601562 1708462900.1150
MEM 2424.230469 1708462900.2154
MEM 2427.019531 1708462900.3160
MEM 2430.023438 1708462900.4161
MEM 2432.652344 1708462900.5163
MEM 2435.277344 1708462900.6166
MEM 2438.285156 1708462900.7170
MEM 2440.910156 1708462900.8173
MEM 2443.921875 1708462900.9176
MEM 2446.929688 1708462901.0179
MEM 2449.835938 1708462901.1182
MEM 2452.835938 1708462901.2185
MEM 2455.460938 1708462901.3187
MEM 2458.707031 1708462901.4191
MEM 2461.714844 1708462901.5193
MEM 2464.339844 1708462901.6200
MEM 2467.339844 1708462901.7206
MEM 2469.964844 1708462901.8210
MEM 2473.128906 1708462901.9214
MEM 2476.128906 1708462902.0217
MEM 2478.757812 1708462902.1219
MEM 2481.386719 1708462902.2226
MEM 2484.386719 1708462902.3232
MEM 2487.011719 1708462902.4236
MEM 2490.019531 1708462902.5241
MEM 2493.027344 1708462902.6246
MEM 2495.644531 1708462902.7251
MEM 2498.644531 1708462902.8255
MEM 2501.273438 1708462902.9261
MEM 2504.441406 1708462903.0265
MEM 2507.445312 1708462903.1271
MEM 2510.445312 1708462903.2273
MEM 2513.070312 1708462903.3275
MEM 2516.074219 1708462903.4282
MEM 2519.082031 1708462903.5286
MEM 2522.085938 1708462903.6292
MEM 2524.714844 1708462903.7296
MEM 2527.714844 1708462903.8301
MEM 2530.718750 1708462903.9308
MEM 2533.722656 1708462904.0311
MEM 2536.664062 1708462904.1316
MEM 2539.515625 1708462904.2318
MEM 2542.515625 1708462904.3322
MEM 2545.140625 1708462904.4327
MEM 2548.140625 1708462904.5331
MEM 2551.304688 1708462904.6338
MEM 2554.304688 1708462904.7344
MEM 2556.929688 1708462904.8347
MEM 2559.933594 1708462904.9353
MEM 2562.933594 1708462905.0357
MEM 2565.566406 1708462905.1362
MEM 2568.566406 1708462905.2365
MEM 2571.566406 1708462905.3368
MEM 2574.191406 1708462905.4373
MEM 2577.191406 1708462905.5377
MEM 2580.195312 1708462905.6383
MEM 2582.984375 1708462905.7388
MEM 2585.984375 1708462905.8393
MEM 2588.984375 1708462905.9396
MEM 2591.988281 1708462906.0398
MEM 2594.988281 1708462906.1404
MEM 2597.628906 1708462906.2409
MEM 2600.632812 1708462906.3415
MEM 2603.632812 1708462906.4419
MEM 2606.632812 1708462906.5423
MEM 2609.261719 1708462906.6429
MEM 2612.425781 1708462906.7434
MEM 2615.050781 1708462906.8439
MEM 2618.054688 1708462906.9445
